Configuration,small
,
Configuration,opentitan_8192
Matrix Dimension,83
Cycles,100719491
Instructions Retired,98369751
LSU Busy,1
Fetch Wait,2349739
Loads,23491860
Stores,345542
Jumps,5140
Conditional Branches,3302732
Taken Conditional Branches,2344331
Instructions Retired / Cycles,0.97667
Fetch Wait / Instruction Retired,0.0238868
Taken Conditional Branches / Conditional Branches,0.709816
,
,
,
,
,
,
Configuration,maxperf
Matrix Dimension,83
Cycles,98764628
Instructions Retired,98369751
LSU Busy,1
Fetch Wait,394876
Loads,23491860
Stores,345542
Jumps,5140
Conditional Branches,3302732
Taken Conditional Branches,2344331
Instructions Retired / Cycles,0.996002
Fetch Wait / Instruction Retired,0.0040142
Taken Conditional Branches / Conditional Branches,0.709816
,
,
,
,
,
,
Configuration,maxperf_with_cache_4096
Matrix Dimension,83
Cycles,98766073
Instructions Retired,98369751
LSU Busy,1
Fetch Wait,396321
Loads,23491860
Stores,345542
Jumps,5140
Conditional Branches,3302732
Taken Conditional Branches,2344331
Instructions Retired / Cycles,0.995987
Fetch Wait / Instruction Retired,0.00402889
Taken Conditional Branches / Conditional Branches,0.709816
,
,
,
,
,
,
Configuration,maxperf_with_cache_8192
Matrix Dimension,83
Cycles,98764929
Instructions Retired,98369751
LSU Busy,1
Fetch Wait,395177
Loads,23491860
Stores,345542
Jumps,5140
Conditional Branches,3302732
Taken Conditional Branches,2344331
Instructions Retired / Cycles,0.995999
Fetch Wait / Instruction Retired,0.00401726
Taken Conditional Branches / Conditional Branches,0.709816
,
,
,
,
,
,
Configuration,maxperf-pmp-bmfull
Matrix Dimension,83
Cycles,100719223
Instructions Retired,98369751
LSU Busy,1
Fetch Wait,2349471
Loads,23491860
Stores,345542
Jumps,5140
Conditional Branches,3302732
Taken Conditional Branches,2344331
Instructions Retired / Cycles,0.976673
Fetch Wait / Instruction Retired,0.0238841
Taken Conditional Branches / Conditional Branches,0.709816
,
,
,
,
,
,
Configuration,maxperf-pmp-bmfull-icache
Matrix Dimension,83
Cycles,100720554
Instructions Retired,98369751
